"ID","ML","Location","LandArea","UseCode","UseDescription","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","GrossArea","SaleDate","StyleDesc","Occupancy","AYBYrBuilt","BldgStories"
1,"7-18","219 MONSIGNOR OBRIEN HWY",11182.00,"337","PARKING-LOT",810200,2300,812500,"   926/ 162",,11/21/1979 0:00:00,,,0,
2,"7-19","221 MONSIGNOR OBRIEN HWY",11182.00,"316","WAREHOUSE",1328400,278600,1607000,"   925/ 176",29983.00,9/14/1979 0:00:00,"STORAGE-WHSE","1",1910,"3"
3,"7-29","225 MONSIGNOR OBRIEN HWY",32681.99,"400","MANUFACTURNG",3462000,304500,3766500,"  1377/ 128",65704.00,11/24/2009 0:00:00,"INDUST-MFCTR","1",1920,"4"
4,"7-31","187-197 MONSIGNOR OBRIEN HWY",12930.00,"300","HOTEL",2850000,9510000,12360000," 26596/  61",25993.00,8/20/1996 0:00:00,"HOTEL","0",2002,"7"
5,"7-34","199 MONSIGNOR OBRIEN HWY",10233.00,"316","WAREHOUSE",833000,394700,1227700," 39915/ 323",18000.00,7/14/2003 0:00:00,"RETAIL-STORE","1",1870,"4"
6,"7-35","263 MONSIGNOR OBRIEN HWY",16035.00,"316","WAREHOUSE",952500,17100,969600," 20124/ 348",10480.00,10/6/1989 0:00:00,"STORAGE-WHSE","1",1983,"1"
7,"7-37","241 MONSIGNOR OBRIEN HWY",19710.00,"334","GAS-STATION",1474300,324000,1798300," 54357/ 456",1257.00,3/2/2010 0:00:00,"MARKET","1",1956,"1"
8,"7-41","209 MONSIGNOR OBRIEN HWY",6007.99,"337","PARKING-LOT",409700,1600,411300," 54383/ 259",,3/9/2010 0:00:00,,,0,
9,"7-45","MONSIGNOR OBRIEN HWY",9299.99,"975","Vacnt Transport Authorit",1339200,0,1339200,"/",0.00,1/1/1900 0:00:00,,,0,
10,"7-54","191R MONSIGNOR OBRIEN HWY",109440.99,"401","WAREHOUSE",4377600,996900,5374500," 45505/ 428",60225.00,6/30/2005 0:00:00,"INDUST-MFCTR","1",1960,"3"
11,"8-50","32 FIRST ST",133872.00,"930","Vacant City",7061460,0,7061460,"/",0.00,1/1/1900 0:00:00,,,0,
12,"8-61","4 CANAL PK",84083.99,"199","CONDO-BLDG",0,0,0,"     0/   0",59046.00,1/1/1900 0:00:00,,,1998,
